after_follower,birth_date,collaboration,death_date,display_name,first,fullname,irn,last,middle,nationality,organization,party_type,role,ulan:id,ulan:name
,1944-,,1944-,"Clark, Kathryn",,"Clark, Kathryn",1684,"Clark, Kathryn",,,,ULAN,Artist,,"Clark, Kathryn"
,1840,,1894,"Gilli, Alberto Maso",,"Gilli, Alberto Maso",1685,"Gilli, Alberto Maso",,,,ULAN,Artist,,"Gilli, Alberto Maso"
,1880,,1949,"Kuhn, Walt",Walt,Walt Kuhn,1686,Kuhn,,,,ULAN,Artist,,"Kuhn, Walt"
,,,,Master of San Baudelio de Berlanga,,,1688,,,,,ULAN,Artist,,Master of San Baudelio de Berlanga
,,,,"Disertori, Benvenuto",,"Disertori, Benvenuto",169,"Disertori, Benvenuto",,,,ULAN,Artist,,"Disertori, Benvenuto"
,1901,,1969,"Crane, Alan",,"Crane, Alan",1693,"Crane, Alan",,,,ULAN,Artist,,"Crane, Alan"
,,,,"Malton, James",,"Malton, James",1694,"Malton, James",,,,ULAN,Artist,,"Malton, James"
,,,,"Mathes, Paul",,"Mathes, Paul",1695,"Mathes, Paul",,,,ULAN,Artist,,"Mathes, Paul"
,,,,"Mortimer, Ian",,"Mortimer, Ian",1696,"Mortimer, Ian",,,,ULAN,Artist,,"Mortimer, Ian"
,,,,"Müller, Johann Gotthard von",,"Müller, Johann Gotthard von",1697,"Müller, Johann Gotthard von",,,,ULAN,Artist,,"Müller, Johann Gotthard von"
,1660,,about 1725,"Chéron, Louis",,"Chéron, Louis",1699,"Chéron, Louis",,,,ULAN,Artist,,"Chéron, Louis"
,,,,"Duplessis-Bertaux, Jean",,"Duplessis-Bertaux, Jean",170,"Duplessis-Bertaux, Jean",,,,ULAN,Artist,,"Duplessis-Bertaux, Jean"
,1898,,,"Meyerowitz, William H.",,"Meyerowitz, William H.",1700,"Meyerowitz, William H.",,,,ULAN,Artist,,"Meyerowitz, William H."
,1688,,1751,"Lamerie, Paul de",Paul,Paul d. Lamerie,1702,Lamerie,de,,,ULAN,Artist,,"Lamerie, Paul de"
,1803,,1874,"Boys, Thomas Shotter",,"Boys, Thomas Shotter",1704,"Boys, Thomas Shotter",,,,ULAN,Artist,,"Boys, Thomas Shotter"
,1676,,1746,"Galeotti, Sebastiano",,"Galeotti, Sebastiano",1705,"Galeotti, Sebastiano",,,,ULAN,Artist,,"Galeotti, Sebastiano"
,1649,,1702,Nicolas J. Visscher II,Nicolas,Nicolas J. Visscher II,1706,Visscher,Jansz,,,Registration-Verified,Artist,,
,1878,,1962,"Clark, Virginia Keep",,"Clark, Virginia Keep",1708,"Clark, Virginia Keep",,,,Registration-Verified,Artist,,
,1901,,1978,"Lindner, Richard",,"Lindner, Richard",1709,"Lindner, Richard",,,,ULAN,Artist,,"Lindner, Richard"
,1871,,1951,"Sloan, John",John,John Sloan,1710,Sloan,,,,ULAN,Artist,,"Sloan, John"
,,,,"Debucourt, Philibert Louis",,"Debucourt, Philibert Louis",1711,"Debucourt, Philibert Louis",,,,ULAN,Artist,,"Debucourt, Philibert Louis"
,1935,,,"Dine, Jim",,"Dine, Jim",1712,"Dine, Jim",,,,ULAN,Artist,,"Dine, Jim"
,,,,"Hohlwein, Ludwig",,"Hohlwein, Ludwig",1714,"Hohlwein, Ludwig",,,,ULAN,Artist,,"Hohlwein, Ludwig"
,,,,"Levine, Les",,"Levine, Les",1716,"Levine, Les",,,,ULAN,Artist,,"Levine, Les"
,1930,,6/6/1998,"Roth, Dieter",,"Roth, Dieter",1717,"Roth, Dieter",,,,ULAN,Artist,,"Roth, Dieter"
,1615,,1652,"Both, Jan",Jan,Jan Both,172,Both,,,,ULAN,Artist,,"Both, Jan"
,1934,,,"Uelsmann, Jerry",,"Uelsmann, Jerry",1720,"Uelsmann, Jerry",,,,ULAN,Artist,,"Uelsmann, Jerry"
,1898,,1991,"Abbott, Berenice",,"Abbott, Berenice",1721,"Abbott, Berenice",,,,ULAN,Artist,,"Abbott, Berenice"
,1861,,,"Castaigne, J. André",,"Castaigne, J. André",1722,"Castaigne, J. André",,,,ULAN,Artist,,"Castaigne, J. André"
,1854,,1923,"Sadler, Walter Dendy",,"Sadler, Walter Dendy",1723,"Sadler, Walter Dendy",,,,ULAN,Artist,,"Sadler, Walter Dendy"
,1573,,1610,"Caravaggio, Michelangelo Merisi da",Michelangelo,Michelangelo M. Caravaggio,1725,Caravaggio,Merisi da,,,ULAN,Artist,,"Caravaggio, Michelangelo Merisi da"
,1860-1920,,1860-1920,"Zorn, Anders Leonard",,"Zorn, Anders Leonard",1726,"Zorn, Anders Leonard",,,,ULAN,Artist,,"Zorn, Anders Leonard"
,1900,,1968,"West, Levon",,"West, Levon",1727,"West, Levon",,,,ULAN,Artist,,"West, Levon"
,1858,,1944,"Cassiers, Hendrick",,"Cassiers, Hendrick",1729,"Cassiers, Hendrick",,,,ULAN,Artist,,"Cassiers, Hendrick"
,1830,,1896,"Lambdin, George Cochran",George,George C. Lambdin,1730,Lambdin,Cochran,,,ULAN,Artist,,"Lambdin, George Cochran"
,1828-1893,,1828-1893,"Veyrassat, Jules Jacques",,"Veyrassat, Jules Jacques",1731,"Veyrassat, Jules Jacques",,,,ULAN,Artist,,"Veyrassat, Jules Jacques"
,,,,"Feyen-Perrin, François Nicolas Auguste",,"Feyen-Perrin, François Nicolas Auguste",1732,"Feyen-Perrin, François Nicolas Auguste",,,,ULAN,Artist,,"Feyen-Perrin, François Nicolas Auguste"
,1896-1970,,1896-1970,"Riggs, Robert",,"Riggs, Robert",1733,"Riggs, Robert",,,,ULAN,Artist,,"Riggs, Robert"
,1863,,1957,"Velde, Henry van de",Henry,Henry v. Velde,1734,Velde,van de,,,Ulan,Artist,,"Velde, Henry van de"
,1852,,1919,"Weir, Julian Alden",Julian,Julian A. Weir,1737,Weir,Alden,,,ULAN,Artist,,"Weir, Julian Alden"
,1885,,1973,"Biddle, George",,"Biddle, George",1738,"Biddle, George",,,,ULAN,Artist,,"Biddle, George"
,1911-1967,,1911-1967,"Nivola, Costantino",,"Nivola, Costantino",1739,"Nivola, Costantino",,,,ULAN,Artist,,"Nivola, Costantino"
,,,,"Pigalle, Jean-Baptiste",,"Pigalle, Jean-Baptiste",1740,"Pigalle, Jean-Baptiste",,,,ULAN,Artist,,"Pigalle, Jean-Baptiste"
,,,,"Seewald, Richard",,"Seewald, Richard",1741,"Seewald, Richard",,,,ULAN,Artist,,"Seewald, Richard"
,1828,,,Francis Nolen,Francis,Francis Nolen,1742,Nolen,,,,Registration-Verified,Artist,,
,1832,,1883,"Manet, Edouard",,"Manet, Edouard",1743,"Manet, Edouard",,,,ULAN,Artist,,"Manet, Edouard"
,1904,,1967,"Spruance, Benton Murdoch",,"Spruance, Benton Murdoch",1744,"Spruance, Benton Murdoch",,,,ULAN,Artist,,"Spruance, Benton Murdoch"
,1931,,,"Riley, Bridget",,"Riley, Bridget",1745,"Riley, Bridget",,,,ULAN,Artist,,"Riley, Bridget"
,1933,,,"Frank, Mary",,"Frank, Mary",1746,"Frank, Mary",,,,ULAN,Artist,,"Frank, Mary"
,1756,,1823,Charles Taylor,Charles,Charles Taylor,1748,Taylor,,,,Registration-Verified,Artist,,
,,,,"Lorenzini, Giovanni Antonio",,"Lorenzini, Giovanni Antonio",175,"Lorenzini, Giovanni Antonio",,,,ULAN,Artist,,"Lorenzini, Giovanni Antonio"
,1936,,,Peter Max,Peter,Peter Max,1752,Max,,  ,,Registration-Verified,Artist,,
,,,,Overbeck Pottery,,Overbeck Pottery,1753,Overbeck Pottery,,,,Registration-Verified,Artist,,
,,,,"Walker, John",,"Walker, John",1754,"Walker, John",,,,ULAN,Artist,,"Walker, John"
,1778,,1862,"Harraden, Richard Banks",,"Harraden, Richard Banks",1755,"Harraden, Richard Banks",,,,ULAN,Artist,,"Harraden, Richard Banks"
,,,,"Nixon, James Henry",,"Nixon, James Henry",1756,"Nixon, James Henry",,,,ULAN,Artist,,"Nixon, James Henry"
,,,,"Greig, John",,"Greig, John",1757,"Greig, John",,,,ULAN,Artist,,"Greig, John"
,,,,"Nixon, John",,"Nixon, John",1758,"Nixon, John",,,,ULAN,Artist,,"Nixon, John"
,,,,"Orme, William",,"Orme, William",1759,"Orme, William",,,,ULAN,Artist,,"Orme, William"
,,,,"Samuel, George",,"Samuel, George",1760,"Samuel, George",,,,ULAN,Artist,,"Samuel, George"
,,,,"Rolle, Miss",,"Rolle, Miss",1761,"Rolle, Miss",,,,ULAN,Artist,,"Rolle, Miss"
,1762,,1799,"Moore, James",,"Moore, James",1762,"Moore, James",,,,ULAN,Artist,,"Moore, James"
,,,,"Hornsey, J.",,"Hornsey, J.",1763,"Hornsey, J.",,,,ULAN,Artist,,"Hornsey, J."
,,,,"Brand, William",,"Brand, William",1764,"Brand, William",,,,ULAN,Artist,,"Brand, William"
,1775,,1862,"Reinagle, Ramsay Richard",,"Reinagle, Ramsay Richard",1765,"Reinagle, Ramsay Richard",,,,ULAN,Artist,,"Reinagle, Ramsay Richard"
,1756,,1819,"Catton, Charles II",,"Catton, Charles II",1766,"Catton, Charles II",,,,ULAN,Artist,,"Catton, Charles II"
,1777,,1848,"Streatfield, Thomas",,"Streatfield, Thomas",1767,"Streatfield, Thomas",,,,ULAN,Artist,,"Streatfield, Thomas"
,,,,"Holmes, George",,"Holmes, George",1768,"Holmes, George",,,,ULAN,Artist,,"Holmes, George"
,1773,,1854,"Bourne, James",,"Bourne, James",1769,"Bourne, James",,,,ULAN,Artist,,"Bourne, James"
,1805,,1876,"Lewis, John Frederick",,"Lewis, John Frederick",177,"Lewis, John Frederick",,,,ULAN,Artist,,"Lewis, John Frederick"
,1757,,1827,"Capon, William",,"Capon, William",1770,"Capon, William",,,,ULAN,Artist,,"Capon, William"
,1740,,1813,"Marlow, William",,"Marlow, William",1771,"Marlow, William",,,,ULAN,Artist,,"Marlow, William"
,1757,,1831,"Corbould, Richard",,"Corbould, Richard",1772,"Corbould, Richard",,,,ULAN,Artist,,"Corbould, Richard"
,1763,,1833,"Parkes, David",,"Parkes, David",1773,"Parkes, David",,,,ULAN,Artist,,"Parkes, David"
,,,,"Eames, J.",,"Eames, J.",1774,"Eames, J.",,,,ULAN,Artist,,"Eames, J."
,1753,,1844,"Nicholson, Francis",,"Nicholson, Francis",1775,"Nicholson, Francis",,,,ULAN,Artist,,"Nicholson, Francis"
,,,,"Crocker, Phillip",,"Crocker, Phillip",1776,"Crocker, Phillip",,,,ULAN,Artist,,"Crocker, Phillip"
,1763,,1841,"Arnald, George",,"Arnald, George",1777,"Arnald, George",,,,ULAN,Artist,,"Arnald, George"
,,,,"Walton, G.",,"Walton, G.",1778,"Walton, G.",,,,ULAN,Artist,,"Walton, G."
,1760,,1848,"Burney, Edward Francis",,"Burney, Edward Francis",1779,"Burney, Edward Francis",,,,ULAN,Artist,,"Burney, Edward Francis"
,,,,"Jeayes, Henry",,"Jeayes, Henry",1780,"Jeayes, Henry",,,,ULAN,Artist,,"Jeayes, Henry"
,,,,"Noel, Mrs. Amelia",,"Noel, Mrs. Amelia",1781,"Noel, Mrs. Amelia",,,,ULAN,Artist,,"Noel, Mrs. Amelia"
,1771,,1857,"Britton, John",,"Britton, John",1782,"Britton, John",,,,ULAN,Artist,,"Britton, John"
,,,,"Curtis, John",,"Curtis, John",1783,"Curtis, John",,,,ULAN,Artist,,"Curtis, John"
,1747,,1823,"Reid, Alexander",,"Reid, Alexander",1784,"Reid, Alexander",,,,ULAN,Artist,,"Reid, Alexander"
,1780,,1848,"Wilson, Andrew",,"Wilson, Andrew",1785,"Wilson, Andrew",,,,ULAN,Artist,,"Wilson, Andrew"
,1721,,1798,"Sandby, Thomas",,"Sandby, Thomas",1786,"Sandby, Thomas",,,,ULAN,Artist,,"Sandby, Thomas"
,1747,,1801,"Wheatley, Francis",,"Wheatley, Francis",1787,"Wheatley, Francis",,,,ULAN,Artist,,"Wheatley, Francis"
,1833,,1898,Edward Burne-Jones,Edward,Edward Burne-Jones,179,Burne-Jones,,,,ULAN,Artist,,Edward Burne-Jones
,1769,,1822,"Basire, James II",,"Basire, James II",1790,"Basire, James II",,,,ULAN,Artist,,"Basire, James II"
,1784,,1824,"O'Neill, Hugh",,"O'Neill, Hugh",1791,"O'Neill, Hugh",,,,ULAN,Artist,,"O'Neill, Hugh"
,1684,,1756,"Vertue, George",,"Vertue, George",1793,"Vertue, George",,,,ULAN,Artist,,"Vertue, George"
,,,,"Green, John",,"Green, John",1795,"Green, John",,,,ULAN,Artist,,"Green, John"
,1721,,1786,"Wale, Samuel",,"Wale, Samuel",1796,"Wale, Samuel",,,,ULAN,Artist,,"Wale, Samuel"
,,,,"Miller, John Frederick",,"Miller, John Frederick",1798,"Miller, John Frederick",,,,ULAN,Artist,,"Miller, John Frederick"
,1731,,1812,"Malchair, John Baptist",,"Malchair, John Baptist",1799,"Malchair, John Baptist",,,,ULAN,Artist,,"Malchair, John Baptist"
,1724,,1774,"Rooker, Edward",,"Rooker, Edward",1800,"Rooker, Edward",,,,ULAN,Artist,,"Rooker, Edward"
,1746,,1801,"Rooker, Michael Angelo",,"Rooker, Michael Angelo",1801,"Rooker, Michael Angelo",,,,ULAN,Artist,,"Rooker, Michael Angelo"
,1781,,1835,"Wild, Charles",,"Wild, Charles",1802,"Wild, Charles",,,,ULAN,Artist,,"Wild, Charles"
,,,,"Young, Arthur",,"Young, Arthur",1803,"Young, Arthur",,,,ULAN,Artist,,"Young, Arthur"
,1787-1788,,1854,"Mackenzie, Frederick",,"Mackenzie, Frederick",1804,"Mackenzie, Frederick",,,,ULAN,Artist,,"Mackenzie, Frederick"
,1784,,1849,"De Wint, Peter",,"De Wint, Peter",1805,"De Wint, Peter",,,,ULAN,Artist,,"De Wint, Peter"
,,,,"Craig, William Marshall",,"Craig, William Marshall",1807,"Craig, William Marshall",,,,ULAN,Artist,,"Craig, William Marshall"
,1743,,1805,"Byrne, William",,"Byrne, William",1808,"Byrne, William",,,,ULAN,Artist,,"Byrne, William"
,1781,,1834,"Cooke, George",,"Cooke, George",1809,"Cooke, George",,,,ULAN,Artist,,"Cooke, George"
,1839,,1924,"Knight, Ridgway",,"Knight, Ridgway",181,"Knight, Ridgway",,,,ULAN,Artist,,"Knight, Ridgway"
,1788,,1847,"Collins, William",,"Collins, William",1811,"Collins, William",,,,ULAN,Artist,,"Collins, William"
,1868,,1857,"Owen, Samuel",,"Owen, Samuel",1812,"Owen, Samuel",,,,ULAN,Artist,,"Owen, Samuel"
,,,,"Aleem, Mariam A.",,"Aleem, Mariam A.",1814,"Aleem, Mariam A.",,,,ULAN,Artist,,"Aleem, Mariam A."
,1781,,1840,"Clennell, Luke",,"Clennell, Luke",1815,"Clennell, Luke",,,,ULAN,Artist,,"Clennell, Luke"
,1767,,1847,"Cristall, Joshua",,"Cristall, Joshua",1816,"Cristall, Joshua",,,,ULAN,Artist,,"Cristall, Joshua"
,1778,,1843,"Hakewill, James",James,James Hakewill,1817,Hakewill,,,,Ulan,Artist,500014401,"Hakewill, James"
,1782,,1857,"Havell, William",,"Havell, William",1818,"Havell, William",,,,ULAN,Artist,,"Havell, William"
,1787,,1879,"Blore, Edward",,"Blore, Edward",1819,"Blore, Edward",,,,ULAN,Artist,,"Blore, Edward"
,,,,"Vascellini, Gaetano",,"Vascellini, Gaetano",182,"Vascellini, Gaetano",,,,ULAN,Artist,,"Vascellini, Gaetano"
,,,,Toetsu,,Toetsu,1821,Toetsu,,,,ULAN,Artist,,Toetsu
,1763,,1840,Tani Bunch^o,,Tani Bunch^o,1822,Tani Bunch^o,,,,ULAN,Artist,,Tani Bunch^o
,1772-1844,,1772-1844,Minzan,,Minzan,1823,Minzan,,,,ULAN,Artist,,Minzan
,1809,,1854,"Bartlett, William Henry",,"Bartlett, William Henry",1824,"Bartlett, William Henry",,,,ULAN,Artist,,"Bartlett, William Henry"
,,,,"Rawlins, T.J.",,"Rawlins, T.J.",1825,"Rawlins, T.J.",,,,ULAN,Artist,,"Rawlins, T.J."
,,,,"Nattali, Margaret",,"Nattali, Margaret",1826,"Nattali, Margaret",,,,ULAN,Artist,,"Nattali, Margaret"
,1788,,1855,"Cubitt, Thomas",,"Cubitt, Thomas",1827,"Cubitt, Thomas",,,,ULAN,Artist,,"Cubitt, Thomas"
,1792,,1842,"Hollis, George",,"Hollis, George",1828,"Hollis, George",,,,ULAN,Artist,,"Hollis, George"
,1859,,1956,Marie D. Webster,Marie,Marie D. Webster,183,Webster,Daugherty,,,Registration-Verified,Artist,,
,1796,,1847,"Byrne, John",,"Byrne, John",1830,"Byrne, John",,,,ULAN,Artist,,"Byrne, John"
,,,,"Fisher, J.",,"Fisher, J.",1834,"Fisher, J.",,,,ULAN,Artist,,"Fisher, J."
,1796,,1844,"Higham, Thomas",,"Higham, Thomas",1836,"Higham, Thomas",,,,ULAN,Artist,,"Higham, Thomas"
,1770,,1851,"Buckler, John",,"Buckler, John",1838,"Buckler, John",,,,ULAN,Artist,,"Buckler, John"
,1783,,1844,"Geddes, Andrew",,"Geddes, Andrew",1840,"Geddes, Andrew",,,,ULAN,Artist,,"Geddes, Andrew"
,1788,,1859,"Lizars, William Home",,"Lizars, William Home",1841,"Lizars, William Home",,,,ULAN,Artist,,"Lizars, William Home"
,1773,,1829,"Williams, Hugh William (Grecian Williams)",,"Williams, Hugh William (Grecian Williams)",1842,"Williams, Hugh William (Grecian Williams)",,,,ULAN,Artist,,"Williams, Hugh William (Grecian Williams)"
,1778,,1840,"Thomson, John",,"Thomson, John",1845,"Thomson, John",,,,ULAN,Artist,,"Thomson, John"
,1779,,1844,"Callcott, Augustus Wall",,"Callcott, Augustus Wall",1846,"Callcott, Augustus Wall",,,,ULAN,Artist,,"Callcott, Augustus Wall"
,1797,,1865,"Cooke, William John",,"Cooke, William John",1847,"Cooke, William John",,,,ULAN,Artist,,"Cooke, William John"
,1944,,,"Plamondon, Peter",,"Plamondon, Peter",1848,"Plamondon, Peter",,,,Registration-Verified,Artist,,
,1823,,1891,Joseph Théodore Deck,Joseph,Joseph T. Deck,1849,Deck,Théodore,,,ULAN,Artist,,Joseph Théodore Deck
,1856,,1929,"Monfried, Georges Daniel de",Georges,Georges G. Monfried,185,Monfried,Georges Daniel de,,,ULAN,Artist,,"Monfried, Georges Daniel de"
,1807,,1852,"Feuchère, Jean-Jacques",Jean-Jacques,Jean-Jacques Feuchère,1851,Feuchère,,,,ULAN,Artist,,"Feuchère, Jean-Jacques"
,1801,,1828,"Bonington, Richard Parkes",,"Bonington, Richard Parkes",1853,"Bonington, Richard Parkes",,,,ULAN,Artist,,"Bonington, Richard Parkes"
,1755,,1834,"Stothard, Thomas",,"Stothard, Thomas",1854,"Stothard, Thomas",,,,ULAN,Artist,,"Stothard, Thomas"
,1789,,1848,"Batty, Robert",,"Batty, Robert",1856,"Batty, Robert",,,,ULAN,Artist,,"Batty, Robert"
,1434,,1519,Michael Wohlgemuth,Michael,Michael Wohlgemuth,1858,Wohlgemuth,,,,Registration-Verified,Artist,,
,1865,,1937,"Lebasque, Henri Baptiste",,"Lebasque, Henri Baptiste",1862,"Lebasque, Henri Baptiste",,,,ULAN,Artist,,"Lebasque, Henri Baptiste"
,,,,"Phillips, George Henry",,"Phillips, George Henry",1863,"Phillips, George Henry",,,,ULAN,Artist,,"Phillips, George Henry"
,,,1870,"Picken, Thomas",,"Picken, Thomas",1864,"Picken, Thomas",,,,ULAN,Artist,,"Picken, Thomas"
,,,,"Purser, William",,"Purser, William",1865,"Purser, William",,,,ULAN,Artist,,"Purser, William"
,1800,,1868,"Cattermole, George",,"Cattermole, George",1866,"Cattermole, George",,,,ULAN,Artist,,"Cattermole, George"
,1934,,,"Hudlow, Conroy",,"Hudlow, Conroy",187,"Hudlow, Conroy",,,,Registration-Verified,Artist,,
,1800,,1859,"Stone, Frank",,"Stone, Frank",1870,"Stone, Frank",,,,ULAN,Artist,,"Stone, Frank"
,1797,,1876,"Gastineau, Henry",,"Gastineau, Henry",1872,"Gastineau, Henry",,,,ULAN,Artist,,"Gastineau, Henry"
,1790,,1852,"Allason, Thomas",,"Allason, Thomas",1875,"Allason, Thomas",,,,ULAN,Artist,,"Allason, Thomas"
,1788,,1833,"Robson, George Fennel",,"Robson, George Fennel",1876,"Robson, George Fennel",,,,ULAN,Artist,,"Robson, George Fennel"
,1803,,1902,"Cooper, Thomas Sidney",,"Cooper, Thomas Sidney",1879,"Cooper, Thomas Sidney",,,,ULAN,Artist,,"Cooper, Thomas Sidney"
,,,,Jérôme Paris,Jérôme,Jérôme Paris,188,Paris,,French,,Curatorial--not verified,Artist,,
,1793,,1873,"Parris, Edmond Thomas",,"Parris, Edmond Thomas",1880,"Parris, Edmond Thomas",,,,ULAN,Artist,,"Parris, Edmond Thomas"
,1785,,1869,"Newton, William John",,"Newton, William John",1882,"Newton, William John",,,,ULAN,Artist,,"Newton, William John"
,1765,,1836,"Westall, Richard",,"Westall, Richard",1883,"Westall, Richard",,,,ULAN,Artist,,"Westall, Richard"
,1794,,1835,"Newton, Gilbert Stuart",,"Newton, Gilbert Stuart",1884,"Newton, Gilbert Stuart",,,,ULAN,Artist,,"Newton, Gilbert Stuart"
,1787,,1854,"Brockedon, William",,"Brockedon, William",1885,"Brockedon, William",,,,ULAN,Artist,,"Brockedon, William"
,1770,,1845,"Phillips, Thomas",,"Phillips, Thomas",1886,"Phillips, Thomas",,,,ULAN,Artist,,"Phillips, Thomas"
,1786,,1849,"Wivell, Abraham",,"Wivell, Abraham",1887,"Wivell, Abraham",,,,ULAN,Artist,,"Wivell, Abraham"
,1770,,1837,"Gérard, François",,"Gérard, François",1890,"Gérard, François",,,,ULAN,Artist,,"Gérard, François"
,1782,,1875,"Pickersgill, Henry William",,"Pickersgill, Henry William",1891,"Pickersgill, Henry William",,,,ULAN,Artist,,"Pickersgill, Henry William"
,1786,,1872,"Hoppner, Richard Belgrave",,"Hoppner, Richard Belgrave",1894,"Hoppner, Richard Belgrave",,,,ULAN,Artist,,"Hoppner, Richard Belgrave"
,1940,,,"Hardy, DeWitt",,"Hardy, DeWitt",1896,"Hardy, DeWitt",,,,ULAN,Artist,,"Hardy, DeWitt"
,1853,,1902,"Twachtman, John Henry",John,John H. Twachtman,1898,Twachtman,Henry,,,ULAN,Artist,,"Twachtman, John Henry"
,1919,,2000,"French, Ray H.",,"French, Ray H.",1899,"French, Ray H.",,  ,,Library of Congress,Artist,,
,1863,,1944,"Munch, Edvard",,"Munch, Edvard",190,"Munch, Edvard",,,,ULAN,Artist,,"Munch, Edvard"
,,,,"Sargent, G.F.",,"Sargent, G.F.",1904,"Sargent, G.F.",,,,ULAN,Artist,,"Sargent, G.F."
,1795,,1875,"Smith, Colvin",,"Smith, Colvin",1905,"Smith, Colvin",,,,ULAN,Artist,,"Smith, Colvin"
,1788,,1856,"Steuben, Charles Auguste Guillaume",,"Steuben, Charles Auguste Guillaume",1906,"Steuben, Charles Auguste Guillaume",,,,ULAN,Artist,,"Steuben, Charles Auguste Guillaume"
,1788,,1864,"Gordon, John Watson",,"Gordon, John Watson",1908,"Gordon, John Watson",,,,ULAN,Artist,,"Gordon, John Watson"
,,,,"Hoppner, William",,"Hoppner, William",1909,"Hoppner, William",,,,ULAN,Artist,,"Hoppner, William"
,1809,,1851,"Bentley, Joseph Clayton",,"Bentley, Joseph Clayton",1911,"Bentley, Joseph Clayton",,,,ULAN,Artist,,"Bentley, Joseph Clayton"
,1806,,1846,"Balmer, George",,"Balmer, George",1912,"Balmer, George",,,,ULAN,Artist,,"Balmer, George"
,1767,,1842,"Barret, George (II)",,"Barret, George (II)",1915,"Barret, George (II)",,,,ULAN,Artist,,"Barret, George (II)"
,1782,,1850,"Allan, William",,"Allan, William",1918,"Allan, William",,,,ULAN,Artist,,"Allan, William"
,1775,,1864,"Skene, James",,"Skene, James",1919,"Skene, James",,,,ULAN,Artist,,"Skene, James"
,1779,,1852,"Dickinson, Anson",,"Dickinson, Anson",192,"Dickinson, Anson",,,,ULAN,Artist,,"Dickinson, Anson"
,,,,"White, George Francis",,"White, George Francis",1921,"White, George Francis",,,,ULAN,Artist,,"White, George Francis"
,1806,,1854,"Bentley, Charles",,"Bentley, Charles",1922,"Bentley, Charles",,,,ULAN,Artist,,"Bentley, Charles"
,,,,"Melville, Henry",,"Melville, Henry",1923,"Melville, Henry",,,,ULAN,Artist,,"Melville, Henry"
,1810,,1893,"Dibdin, Thomas Coleman",,"Dibdin, Thomas Coleman",1925,"Dibdin, Thomas Coleman",,,,ULAN,Artist,,"Dibdin, Thomas Coleman"
,1796,,1866,"Harvey, William",,"Harvey, William",1929,"Harvey, William",,,,ULAN,Artist,,"Harvey, William"
,1810,,1876,"Winter, George",,"Winter, George",193,"Winter, George",,,,ULAN,Artist,,"Winter, George"
,1817,,1879,"Chapman, William",,"Chapman, William",1930,"Chapman, William",,,,ULAN,Artist,,"Chapman, William"
,1809,,1886,"Prior, Thomas Abiel",,"Prior, Thomas Abiel",1931,"Prior, Thomas Abiel",,,,ULAN,Artist,,"Prior, Thomas Abiel"
,1818,,1899,"Sharpe, Charles William",,"Sharpe, Charles William",1933,"Sharpe, Charles William",,,,ULAN,Artist,,"Sharpe, Charles William"
,1819,,1898,"Brandard, Edward Paxman",,"Brandard, Edward Paxman",1935,"Brandard, Edward Paxman",,,,ULAN,Artist,,"Brandard, Edward Paxman"
,1773,,1835,"Reynolds, Samuel William (I)",,"Reynolds, Samuel William (I)",1939,"Reynolds, Samuel William (I)",,,,ULAN,Artist,,"Reynolds, Samuel William (I)"
,1762,,1832,"Pugin, Augustus Charles",,"Pugin, Augustus Charles",1940,"Pugin, Augustus Charles",,,,ULAN,Artist,,"Pugin, Augustus Charles"
,1772,,1813,"Huet-Villiers, François",,"Huet-Villiers, François",1941,"Huet-Villiers, François",,,,ULAN,Artist,,"Huet-Villiers, François"
,,,,"Bradley, Edward",,"Bradley, Edward",1942,"Bradley, Edward",,,,ULAN,Artist,,"Bradley, Edward"
,1857,,1945,"Short, Frank",,"Short, Frank",1944,"Short, Frank",,,,ULAN,Artist,,"Short, Frank"
,1748,,1804,"Malton, Thomas, II",,"Malton, Thomas, II",1945,"Malton, Thomas, II",,,,ULAN,Artist,,"Malton, Thomas, II"
,1806,,1890,"Marshall, Charles",,"Marshall, Charles",1946,"Marshall, Charles",,,,ULAN,Artist,,"Marshall, Charles"
,1813,,1890,"Richardson, Thomas Miles II",,"Richardson, Thomas Miles II",1948,"Richardson, Thomas Miles II",,,,ULAN,Artist,,"Richardson, Thomas Miles II"
,1822,,1878,"Bough, Samuel",,"Bough, Samuel",1949,"Bough, Samuel",,,,ULAN,Artist,,"Bough, Samuel"
,,,,"Huxley, Paul",,"Huxley, Paul",195,"Huxley, Paul",,,,ULAN,Artist,,"Huxley, Paul"
,1804,,1883,"Leitch, William Leighton",,"Leitch, William Leighton",1950,"Leitch, William Leighton",,,,ULAN,Artist,,"Leitch, William Leighton"
,1820,,1902,"Faed, John",,"Faed, John",1951,"Faed, John",,,,ULAN,Artist,,"Faed, John"
,1775,,1863,"Delamotte, William Alfred",,"Delamotte, William Alfred",1953,"Delamotte, William Alfred",,,,ULAN,Artist,,"Delamotte, William Alfred"
,1829,,1907,"Finnie, John",,"Finnie, John",1954,"Finnie, John",,,,ULAN,Artist,,"Finnie, John"
,1797,,1881,"Hart, Thomas Gray",,"Hart, Thomas Gray",1955,"Hart, Thomas Gray",,,,ULAN,Artist,,"Hart, Thomas Gray"
,1790,,1848,"Dawe, Henry Edward",Henry,Henry E. Dawe,1957,Dawe,Edward,,,ULAN,Artist,,"Dawe, Henry Edward"
,1845,,1917,Clément Massier,Clément,Clément Massier,196,Massier,,,,ULAN,Artist,,Clément Massier
